N,S_approx,RelError
100,0.925,0.0206636641353
600,0.891666666667,0.0559550636259
1100,0.948863636364,0.00460176959092
1600,0.9703125,0.0273105820472
2100,0.93630952381,0.008689796451
2600,0.931730769231,0.0135375161613
3100,0.937903225806,0.00700247723572
3600,0.936458333333,0.00853224556042
4100,0.94512195122,0.000640290435237
4600,0.952445652174,0.00839420011918
5100,0.944852941176,0.000355478208358
5600,0.940178571429,0.00459347329584
6100,0.943852459016,0.000703774259477
6600,0.947159090909,0.00279709575333
7100,0.95176056338,0.00766886785011
7600,0.948684210526,0.0044118039238
8100,0.948765432099,0.00449779661262
8600,0.946220930233,0.00180382565667
9100,0.944368131868,0.000157809760962
9600,0.946744791667,0.00235845975114
10100,0.947153465347,0.00279113973406
10600,0.949056603774,0.00480607228951
11100,0.945382882883,0.00091654974239
11600,0.945797413793,0.001355431021
12100,0.940805785124,0.00392941582314
12600,0.947916666667,0.00359917301448
13100,0.936736641221,0.00823758931467
13600,0.9515625,0.00745916983377
14100,0.938120567376,0.00677236859114
14600,0.95,0.00580488548265
15100,0.947930463576,0.00361378038182
15600,0.942708333333,0.00191510815593
16100,0.943788819876,0.00077115168952
16600,0.948795180723,0.00452929272997
17100,0.949195906433,0.00495355786335
17600,0.947514204545,0.0031730694695
18100,0.947790055249,0.00346512419045
18600,0.951209677419,0.00708562175448
19100,0.94195026178,0.00271771033675
19600,0.944323979592,0.000204555629597
20100,0.95342039801,0.00942620446023
20600,0.95,0.00580488548265
21100,0.944016587678,0.00053000435483
21600,0.948958333333,0.00470202924856
22100,0.946662895928,0.00227175329382
22600,0.946017699115,0.00158865633996
23100,0.946699134199,0.00231012027335
23600,0.943697033898,0.000868329357477
24100,0.94377593361,0.000784794920168
24600,0.952693089431,0.00865617233173
25100,0.939342629482,0.00547852013139
25600,0.944091796875,0.000450377220038
26100,0.946264367816,0.00184981485008
26600,0.944501879699,1.62053167945e-05
27100,0.943496309963,0.00108084421502
27600,0.948777173913,0.00451022816437
28100,0.944483985765,3.51503761229e-05
28600,0.946241258741,0.00182534830232
29100,0.946993127148,0.00262138295127
29600,0.939695945946,0.00510444915719
30100,0.943895348837,0.000658365005463
30600,0.942156862745,0.00249897322103
31100,0.94654340836,0.00214524678949
31600,0.947151898734,0.00278948109579
32100,0.945404984424,0.000939949571555
32600,0.939992331288,0.00479065355154
33100,0.947016616314,0.00264625191796
33600,0.944791666667,0.000290604312236
34100,0.950879765396,0.00673633004398
34600,0.942593930636,0.00203623109493
35100,0.947257834758,0.00290164001173
35600,0.946207865169,0.00178999312486
36100,0.94345567867,0.00112386227053
36600,0.943101092896,0.00149927711685
37100,0.946664420485,0.00227336740693
37600,0.944448138298,7.31035947486e-05
38100,0.944914698163,0.00042086292256
38600,0.944980569948,0.000490604147432
39100,0.94462915601,0.000118547457302
39600,0.945296717172,0.000825322486336
40100,0.9447319202,0.000227348219009
40600,0.942210591133,0.00244208872098
41100,0.94501216545,0.000524055631859
41600,0.947475961538,0.00313257999237
42100,0.949970308789,0.00577345015056
42600,0.942840375587,0.00177530947837
43100,0.949361948956,0.00512935405388
43600,0.942115825688,0.00254242087623
44100,0.94220521542,0.00244778021457
44600,0.944927130045,0.000434025078103
45100,0.943736141907,0.000826924066867
45600,0.941940789474,0.00272773906525
46100,0.9409164859,0.00381221226358
46600,0.944018240343,0.000528254608349
47100,0.950371549894,0.00619826095467
47600,0.945220588235,0.000744721585093
48100,0.942593555094,0.00203662869731
48600,0.943955761317,0.000594403776842
49100,0.945315682281,0.000845401643841
49600,0.942767137097,0.00185285014271
50100,0.939820359281,0.00497272753545
50600,0.949061264822,0.00481100713731
51100,0.949510763209,0.00528690995196
51600,0.943531976744,0.00104308229642
52100,0.949712092131,0.00550006533349
52600,0.946673003802,0.00228245492512
53100,0.942019774011,0.00264411481913
53600,0.945942164179,0.00150868433197
54100,0.946164510166,0.00174409136381
54600,0.944482600733,3.66167682062e-05
55100,0.947028130672,0.00265844265147
55600,0.94559352518,0.00113956558595
56100,0.945967023173,0.0015350035924
56600,0.94359540636,0.000975926698636
57100,0.94680385289,0.0024209903476
57600,0.944487847222,3.10620893715e-05
58100,0.94582616179,0.00138586773231
58600,0.944667235495,0.000158863806458
59100,0.946002538071,0.00157260470617
59600,0.944001677852,0.00054579001294
60100,0.945257903494,0.000784228816342
60600,0.947359735974,0.00300952710715
61100,0.94625613748,0.00184110104722
61600,0.945231331169,0.000756095579868
62100,0.949114331723,0.00486719129328
62600,0.942372204473,0.0022709818928
63100,0.943185419968,0.00140999650514
63600,0.942393867925,0.00224804588697
64100,0.945105304212,0.000622665549643
64600,0.94616873065,0.0017485597672
65100,0.947407834101,0.00306045061442
65600,0.941482469512,0.00321298165091
66100,0.946085476551,0.00166041515669
66600,0.946152402402,0.00173127236577
67100,0.943144560358,0.00145325629039
67600,0.943860946746,0.000694787944252
68100,0.945778267254,0.00133515977623
68600,0.947995626822,0.00368277144622
69100,0.942782199711,0.00183690272109
69600,0.943336925287,0.00124959146295
70100,0.946504992867,0.0021045746944
70600,0.947662889518,0.00333048849286
71100,0.942088607595,0.00257123781418
71600,0.942143854749,0.00251274533306
72100,0.947798196949,0.00347374415013
