N,S_approx,RelError
100,0.94249223595,0.00214389952849
600,0.994852915725,0.0532925504977
1100,0.961532483141,0.0180148095719
1600,1.0013980007,0.060222106751
2100,0.927532041729,0.0179828852503
2600,0.950547725146,0.00638478509092
3100,0.881686285244,0.0665217124621
3600,0.954127942567,0.0101753115884
4100,0.998684184977,0.0573488761094
4600,0.906067415237,0.0407083865032
5100,0.897318316144,0.0499714250413
5600,1.01729320706,0.0770510290804
6100,0.928758287157,0.0166846077321
6600,0.918691926961,0.027342285904
7100,0.961666569389,0.0181567723121
7600,0.971428401089,0.0284920333807
8100,1.01618504452,0.0758777708787
8600,0.918138431403,0.0279282948895
9100,0.90336557414,0.0435689391085
9600,0.949037320922,0.00478565672478
10100,0.901018430188,0.0460539589552
10600,0.925697300928,0.0199254023671
11100,0.982116534158,0.0398080085994
11600,0.941589465609,0.00309970039101
12100,0.965859812048,0.0225963343675
12600,0.930856529333,0.0144631106454
13100,0.908917448919,0.0376909361865
13600,0.953272375904,0.00926948724161
14100,0.914269458199,0.0320245392589
14600,0.941774966364,0.00290330295351
15100,0.939024641263,0.0058151876097
15600,0.934436746754,0.0106725841479
16100,0.958753316625,0.0150723892995
16600,0.985390142272,0.0432739149508
17100,0.935143368613,0.00992445391813
17600,0.959152452242,0.0154949709344
18100,0.951170801659,0.0070444623543
18600,0.925038676025,0.0206227162039
19100,0.920012781806,0.0259438414246
19600,0.952643796315,0.00860398363985
20100,0.970626332545,0.0276428497393
20600,0.945034016522,0.000547190278606
21100,0.943484855472,0.00109297156591
21600,0.981277924672,0.0389201375279
22100,0.926381257558,0.0192012687673
22600,0.924420850895,0.0212768336083
23100,0.928438720166,0.0170229467217
23600,0.931842606165,0.0134191097033
24100,0.943361292876,0.00122379247411
24600,0.945046415451,0.000560317545958
25100,0.936233987371,0.00876977004955
25600,0.950264524354,0.00608494852227
26100,0.961350105294,0.0178217184886
26600,0.966113595247,0.0228650252954
27100,0.946742918441,0.0023564764884
27600,0.949321889834,0.00508694177927
28100,0.965598016349,0.0223191602695
28600,0.958237055742,0.0145258022276
29100,0.970202011501,0.0271936032345
29600,0.927986912499,0.0175012944682
30100,0.929271599196,0.0161411427245
30600,0.933594342655,0.0115644727356
31100,0.936431192632,0.00856098056046
31600,0.954422517418,0.0104871903509
32100,0.955541626548,0.0116720381727
32600,0.950523015057,0.00635862348166
33100,0.971282700358,0.0283377738998
33600,0.939687199533,0.00511370935132
34100,0.918845477342,0.0271797156694
34600,0.953388099949,0.00939200914748
35100,0.95293453676,0.00891180275594
35600,0.930431629934,0.0149129694783
36100,0.946843538978,0.0024630076759
36600,0.951362077879,0.00724697451966
37100,0.925838434836,0.0197759779735
37600,0.943884807221,0.000669525857581
38100,0.947714560967,0.00338519522478
38600,0.943848730245,0.000707722066672
39100,0.966329067152,0.0230931544476
39600,0.947252297748,0.00289577774662
40100,0.953199407375,0.00919223239707
40600,0.948424726762,0.00413707756807
41100,0.921853719834,0.0239947630425
41600,0.92235351296,0.023465611077
42100,0.948213355355,0.00391328978554
42600,0.945933782977,0.00149981080187
43100,0.92791385643,0.0175786419952
43600,0.965309963375,0.0220141864921
44100,0.934418480338,0.0106919235688
44600,0.945779453514,0.00133641571979
45100,0.939241462039,0.00558563035052
45600,0.938128845969,0.00676360369734
46100,0.944536687655,2.06473271956e-05
46600,0.936649413314,0.00832994116232
47100,0.948940047897,0.00468266968917
47600,0.965152530138,0.0218475053148
48100,0.939444213011,0.00537096938449
48600,0.94529342458,0.000821836481141
49100,0.916258575615,0.0299185771384
49600,0.938902995804,0.00594397876416
50100,0.949599074722,0.0053804090579
50600,0.958635054221,0.0149471799262
51100,0.940237960108,0.00453059600711
51600,0.963801814928,0.0204174464124
52100,0.968220324285,0.025095507778
52600,0.946872216768,0.00249337005545
53100,0.9539307272,0.00996651140002
53600,0.926276055273,0.0193126508426
54100,0.963010653902,0.0195798110178
54600,0.962822756302,0.0193808759396
55100,0.913413528126,0.0329307483634
55600,0.951156233323,0.00702903824563
56100,0.935398810526,0.00965400684042
56600,0.949708018675,0.00549575259526
57100,0.944326235242,0.000202167478537
57600,0.956309637557,0.0124851636729
58100,0.933840557364,0.0113037948857
58600,0.948568219269,0.00428899910936
59100,0.951351911039,0.00723621045902
59600,0.932301231162,0.0129335441645
60100,0.950333269527,0.00615773192302
60600,0.93644397261,0.00854744986155
61100,0.933236993044,0.0119428137721
