type,n,threshold,usec
random,24800,0,7908.8
random,24900,0,7889
random,25000,0,7893.4
random,25100,0,7941.2
random,25200,0,7965
random,25300,0,7973.2
random,25400,0,8051
random,25500,0,8081.4
random,25600,0,8104.2
random,25700,0,8108.4
random,25800,0,8138.4
random,25900,0,8172.2
random,26000,0,8209.2
random,26100,0,8240.4
random,26200,0,8273.4
random,26300,0,8322.4
random,26400,0,8366.4
random,26500,0,9407.6
random,26600,0,9121.4
random,26700,0,8849.2
random,26800,0,8793.8
random,26900,0,8765.2
random,27000,0,8782.6
random,27100,0,9071.6
random,27200,0,8974.4
random,27300,0,8838
random,27400,0,8841.4
random,27500,0,8850.6
random,27600,0,8908.8
random,27700,0,9137.4
random,27800,0,9042.6
random,27900,0,8997.6
random,28000,0,9081.4
random,28100,0,9043.6
random,28200,0,9055.2
random,28300,0,9093.2
random,28400,0,9098.6
random,28500,0,9137
random,28600,0,9174.6
random,28700,0,9206.4
random,28800,0,9226
random,28900,0,9333
random,29000,0,9308.8
random,29100,0,9357.6
random,29200,0,9453.2
random,29300,0,9543.4
random,29400,0,9445.6
random,29500,0,9473.8
random,29600,0,9512
random,29700,0,9542.8
random,29800,0,9924
random,29900,0,10057.8
random,30000,0,10130.4
random,30100,0,9974.8
random,30200,0,10250.6
random,30300,0,10106.8
random,30400,0,10115.6
random,30500,0,10225.2
random,30600,0,10168.4
random,30700,0,10207
random,30800,0,10338.8
random,30900,0,10452.4
random,31000,0,10430.2
random,31100,0,10477
random,31200,0,10400.2
random,31300,0,10422.2
random,31400,0,10594.2
random,31500,0,10492.2
random,31600,0,10569.8
random,31700,0,11020
random,31800,0,10718.6
random,31900,0,10807.2
random,32000,0,10736.4
random,32100,0,10713.2
random,32200,0,10714.6
random,32300,0,10806
random,32400,0,10802.4
random,32500,0,10827.8
random,32600,0,10851.4
random,32700,0,10888.6
random,32800,0,11531.6
random,32900,0,11272.8
random,33000,0,11033.2
random,33100,0,11149.6
random,33200,0,10904
random,33300,0,10855
random,33400,0,10899.6
random,33500,0,10978.8
random,33600,0,10968
random,33700,0,11105.8
random,33800,0,11024.4
random,33900,0,11048.8
random,34000,0,11140.8
random,34100,0,11149
random,34200,0,11197.8
random,34300,0,11199.6
random,34400,0,11241.6
random,34500,0,11226
random,34600,0,11280.6
random,34700,0,11364.6
random,34800,0,11359.4
random,34900,0,11387.4
random,35000,0,11412.4
random,35100,0,11338.2
random,35200,0,11535.2
random,35300,0,11576.6
random,35400,0,11615.2
random,35500,0,11668
random,35600,0,11707.2
random,35700,0,11724.8
random,35800,0,11782
random,35900,0,11783.8
random,36000,0,11807
random,36100,0,11823.2
random,36200,0,11871
random,36300,0,11929.2
random,36400,0,11967.2
random,36500,0,12020.4
random,36600,0,12028.2
random,36700,0,12387.4
random,36800,0,12540
random,36900,0,12524.4
random,37000,0,12551.6
random,37100,0,12261.2
random,37200,0,12712.4
random,37300,0,12193.6
random,37400,0,12316.2
random,37500,0,12467.6
random,37600,0,12459.8
random,37700,0,12529.4
random,37800,0,12521.8
random,37900,0,12696.4
random,38000,0,12657.4
random,38100,0,12638
random,38200,0,12665.8
random,38300,0,12714
random,38400,0,12728.4
random,38500,0,12779.4
random,38600,0,12828
random,38700,0,12858
random,38800,0,12867.6
random,38900,0,12905.6
random,39000,0,12958.8
random,39100,0,12992.6
random,39200,0,13115.4
random,39300,0,13080
random,39400,0,13075.6
random,39500,0,13115.2
random,39600,0,13492.8
random,39700,0,13080.2
random,39800,0,13228
random,39900,0,13284.2
random,40000,0,13429.8
random,40100,0,13349.4
random,40200,0,13367
random,40300,0,13381.6
random,40400,0,13439
random,40500,0,13501.4
random,40600,0,13576.4
random,40700,0,13548.4
random,40800,0,13561.4
random,40900,0,13598.6
random,41000,0,13641.6
random,41100,0,13760.4
random,41200,0,13727.2
random,41300,0,13749.4
random,41400,0,13771.2
random,41500,0,13822.6
random,41600,0,13853.2
random,41700,0,13889.8
random,41800,0,13914.2
random,41900,0,13939.4
random,42000,0,14009
random,42100,0,14059.8
random,42200,0,14099
random,42300,0,14269
random,42400,0,14168.8
random,42500,0,14200.8
random,42600,0,14236.8
random,42700,0,14261
random,42800,0,14290.4
random,42900,0,14369.6
random,43000,0,14357.4
random,43100,0,14462.4
random,43200,0,14452.8
random,43300,0,14603.2
random,43400,0,14579.8
random,43500,0,14594.2
random,43600,0,14623.6
random,43700,0,14610.6
random,43800,0,14638.4
random,43900,0,14677
random,44000,0,14835
random,44100,0,14928.2
random,44200,0,14951.6
random,44300,0,14872.8
random,44400,0,14916.2
random,44500,0,14963.4
random,44600,0,15089.6
random,44700,0,15028.6
random,44800,0,15036.8
random,44900,0,15099.2
random,45000,0,15124.6
random,45100,0,15221.8
random,45200,0,15262
random,45300,0,15219
random,45400,0,15261
random,45500,0,15319.2
random,45600,0,16241.6
random,45700,0,15808.4
random,45800,0,15918.8
random,45900,0,15895.2
random,46000,0,15906.2
random,46100,0,15933.8
random,46200,0,15913.2
random,46300,0,16027.2
random,46400,0,16770.6
random,46500,0,15774.2
random,46600,0,15766
random,46700,0,15775.8
random,46800,0,15811.2
random,46900,0,15970.4
random,47000,0,15882.2
random,47100,0,16692.8
random,47200,0,16015.4
random,47300,0,15960.6
random,47400,0,15976.6
random,47500,0,22274.4
random,47600,0,16334.6
random,47700,0,17784.4
random,47800,0,20590.4
random,47900,0,16623.8
random,48000,0,17631
random,48100,0,17199.8
random,48200,0,17144.6
random,48300,0,16963
random,48400,0,18011.2
random,48500,0,17615.6
random,48600,0,18068.8
random,48700,0,16914.6
random,48800,0,17703.2
random,48900,0,19066.4
random,49000,0,19058
random,49100,0,16657.8
random,49200,0,16632
random,49300,0,16642
random,49400,0,16633.2
random,49500,0,16778.4
random,49600,0,16817.4
random,49700,0,16712.6
random,49800,0,16710.6
random,49900,0,17147
random,50000,0,16862.4
random,50100,0,16871.2
random,50200,0,16935.4
random,50300,0,16907.8
random,50400,0,16924.8
random,50500,0,16972.8
random,50600,0,17047.2
random,50700,0,17044.6
random,50800,0,17196.4
random,50900,0,17155.6
random,51000,0,17170.8
random,51100,0,17167.8
random,51200,0,17209.6
random,51300,0,17276.8
random,51400,0,17273.2
random,51500,0,17301.6
random,51600,0,17356
random,51700,0,17383
random,51800,0,17384.2
random,51900,0,17429.8
random,52000,0,17460.8
random,52100,0,17488
random,52200,0,17562.6
random,52300,0,17943.6
random,52400,0,17827.8
random,52500,0,17847.8
random,52600,0,17920.2
random,52700,0,17917.2
random,52800,0,18073
random,52900,0,18033.6
random,53000,0,18026.8
random,53100,0,18053
random,53200,0,18117.4
random,53300,0,18141.4
random,53400,0,18316.6
random,53500,0,18260
random,53600,0,18290.8
random,53700,0,18341
random,53800,0,18349.8
random,53900,0,18386.2
random,54000,0,18441.6
random,54100,0,18425.2
random,54200,0,18624.8
random,54300,0,18344
random,54400,0,18400.4
random,54500,0,18960.8
random,54600,0,19091.8
random,54700,0,19244.6
random,54800,0,19088.6
random,54900,0,19151.2
random,55000,0,18911.2
random,55100,0,18681.6
random,55200,0,18844
random,55300,0,18857.8
random,55400,0,18935.8
random,55500,0,18957
random,55600,0,18927.2
random,55700,0,19028.8
random,55800,0,19060
random,55900,0,19078.8
random,56000,0,19062.4
random,56100,0,19015.8
random,56200,0,19074.4
random,56300,0,19073.6
random,56400,0,19114
random,56500,0,19188.4
random,56600,0,19209.6
random,56700,0,19272
random,56800,0,19288.2
random,56900,0,19307
random,57000,0,19337.6
random,57100,0,19405.4
random,57200,0,19380
random,57300,0,19534.2
random,57400,0,19466
random,57500,0,19495
random,57600,0,19511.8
random,57700,0,19594.6
random,57800,0,19680.2
random,57900,0,19646
random,58000,0,19708.8
random,58100,0,20567.6
random,58200,0,21336
random,58300,0,20710.2
random,58400,0,21151.8
random,58500,0,20235.2
random,58600,0,20520.6
random,58700,0,20507.4
random,58800,0,20564
random,58900,0,20565
