type,n,threshold,usec
random,25100,5,7132.4
random,25200,5,7115.8
random,25300,5,7133.2
random,25400,5,7060.8
random,25500,5,7196
random,25600,5,7204.8
random,25700,5,7214.2
random,25800,5,7126
random,25900,5,7142.8
random,26000,5,7186.2
random,26100,5,7310
random,26200,5,7310.8
random,26300,5,7373.8
random,26400,5,7366
random,26500,5,7404
random,26600,5,7399.4
random,26700,5,7419.4
random,26800,5,7510.2
random,26900,5,7482.8
random,27000,5,7520
random,27100,5,7438.6
random,27200,5,7561.2
random,27300,5,7593.8
random,27400,5,7602
random,27500,5,7585.2
random,27600,5,7722.8
random,27700,5,7688.8
random,27800,5,7713
random,27900,5,7755.4
random,28000,5,7776.2
random,28100,5,7780.8
random,28200,5,7936.2
random,28300,5,8067
random,28400,5,7854.4
random,28500,5,7883.8
random,28600,5,7855.4
random,28700,5,7971.4
random,28800,5,7899.4
random,28900,5,7920.2
random,29000,5,7965.2
random,29100,5,7993.4
random,29200,5,8023
random,29300,5,8060.4
random,29400,5,8092.6
random,29500,5,8086
random,29600,5,8112
random,29700,5,8119.6
random,29800,5,8138
random,29900,5,8175
random,30000,5,8197.4
random,30100,5,8210.4
random,30200,5,8239
random,30300,5,8265.6
random,30400,5,8297.8
random,30500,5,8342.6
random,30600,5,8399.6
random,30700,5,8429.2
random,30800,5,8471.6
random,30900,5,8453
random,31000,5,8479
random,31100,5,8561.4
random,31200,5,8550.8
random,31300,5,8549.8
random,31400,5,8559.4
random,31500,5,8732.4
random,31600,5,8824
random,31700,5,8849.8
random,31800,5,8827.6
random,31900,5,8863.4
random,32000,5,8890.4
random,32100,5,8951.2
random,32200,5,8961.6
random,32300,5,8926
random,32400,5,8913.8
random,32500,5,9002.4
random,32600,5,8979.2
random,32700,5,8933.6
random,32800,5,8958.2
random,32900,5,8956.8
random,33000,5,9032.6
random,33100,5,9062.8
random,33200,5,9258.2
random,33300,5,9684.4
random,33400,5,9613
random,33500,5,9485
random,33600,5,9293.8
random,33700,5,9293.2
random,33800,5,9301.4
random,33900,5,9515
random,34000,5,9686.6
random,34100,5,9876.2
random,34200,5,9899.8
random,34300,5,9893.6
random,34400,5,9945.2
random,34500,5,9678.8
random,34600,5,9569.8
random,34700,5,9558.4
random,34800,5,9582.6
random,34900,5,9628
random,35000,5,9685.8
random,35100,5,9724.6
random,35200,5,9699.6
random,35300,5,9645.4
random,35400,5,9734
random,35500,5,9743
random,35600,5,9772.2
random,35700,5,9793.4
random,35800,5,9920.4
random,35900,5,9933.2
random,36000,5,9909.8
random,36100,5,10115.4
random,36200,5,10067.4
random,36300,5,9996.2
random,36400,5,10096.8
random,36500,5,10331.2
random,36600,5,10192.2
random,36700,5,10246.6
random,36800,5,10172.8
random,36900,5,10225
random,37000,5,10204
random,37100,5,10252.2
random,37200,5,10162
random,37300,5,10202.6
random,37400,5,10340.4
random,37500,5,10405.8
random,37600,5,10472.6
random,37700,5,10304
random,37800,5,10326.8
random,37900,5,10298
random,38000,5,10332.2
random,38100,5,10346.6
random,38200,5,10371.4
random,38300,5,10422.2
random,38400,5,10478.4
random,38500,5,10832
random,38600,5,10947.6
random,38700,5,10733
random,38800,5,10590.4
random,38900,5,10635
random,39000,5,10664.6
random,39100,5,10715.2
random,39200,5,10686.2
random,39300,5,10731.2
random,39400,5,10743.4
random,39500,5,10855.8
random,39600,5,10794
random,39700,5,10820
random,39800,5,10913.8
random,39900,5,10982.6
random,40000,5,11124.2
random,40100,5,11011
random,40200,5,10990.8
random,40300,5,11000.6
random,40400,5,11106.6
random,40500,5,11149.2
random,40600,5,11152.8
random,40700,5,11177.4
random,40800,5,11297.4
random,40900,5,11321
random,41000,5,11219.8
random,41100,5,11337
random,41200,5,11342.6
random,41300,5,11316
random,41400,5,11363
random,41500,5,11433
random,41600,5,11523.8
random,41700,5,11510.8
random,41800,5,11512
random,41900,5,11590.2
random,42000,5,11556.2
random,42100,5,11600.2
random,42200,5,11623.4
random,42300,5,11642.2
random,42400,5,11704.6
random,42500,5,11767.2
random,42600,5,11795.2
random,42700,5,11841
random,42800,5,11854.8
random,42900,5,11894.2
random,43000,5,11940.2
random,43100,5,11971.8
random,43200,5,12009.6
random,43300,5,12089.2
random,43400,5,12579.2
random,43500,5,12651.8
random,43600,5,12255.8
random,43700,5,12296.2
random,43800,5,12323.2
random,43900,5,12416.2
random,44000,5,12378.2
random,44100,5,12443.8
random,44200,5,12480
random,44300,5,12520.8
random,44400,5,12748.8
random,44500,5,12746.2
random,44600,5,13322.2
random,44700,5,13279.4
random,44800,5,12714.8
random,44900,5,12845.6
random,45000,5,12897
random,45100,5,15933.8
random,45200,5,13299.2
random,45300,5,12896.4
random,45400,5,12920.8
random,45500,5,12935.2
random,45600,5,12966.8
random,45700,5,13048.6
random,45800,5,13060
random,45900,5,13098.2
random,46000,5,13153.2
random,46100,5,13185.8
random,46200,5,13228.2
random,46300,5,13258
random,46400,5,13332
random,46500,5,13393
random,46600,5,13359.4
random,46700,5,13430.2
random,46800,5,13487.8
random,46900,5,13533
random,47000,5,13605.4
random,47100,5,13665.8
random,47200,5,13716.4
random,47300,5,13684.2
random,47400,5,13975.4
random,47500,5,13850.8
random,47600,5,13793
random,47700,5,13845.4
random,47800,5,13897
random,47900,5,13901.6
random,48000,5,14019.2
random,48100,5,13965.8
random,48200,5,14025.2
random,48300,5,14055.8
random,48400,5,14098.8
random,48500,5,14085.8
random,48600,5,14432.8
random,48700,5,14809.6
random,48800,5,14810.2
random,48900,5,14840.8
random,49000,5,14892
random,49100,5,14940.4
random,49200,5,14958
random,49300,5,14466.6
random,49400,5,14681
random,49500,5,14489.6
random,49600,5,14490.8
random,49700,5,14526
random,49800,5,14548.6
random,49900,5,14567.2
random,50000,5,14645
random,50100,5,14650.6
random,50200,5,14642.8
random,50300,5,14669.8
random,50400,5,14711
random,50500,5,14737.2
random,50600,5,14976
random,50700,5,14841.8
random,50800,5,14839.4
random,50900,5,14903.8
random,51000,5,14914
random,51100,5,14928.4
random,51200,5,14962.6
random,51300,5,14978.4
random,51400,5,15070.4
random,51500,5,15038.2
random,51600,5,15046.4
random,51700,5,15084.2
random,51800,5,15143.2
random,51900,5,15151.6
random,52000,5,15164.4
random,52100,5,15323.4
random,52200,5,15258.4
random,52300,5,15317.4
random,52400,5,15288.4
random,52500,5,15312.8
random,52600,5,15318.4
random,52700,5,15430.2
random,52800,5,15450.2
random,52900,5,16339.6
random,53000,5,16221.8
random,53100,5,15515
random,53200,5,15524.4
random,53300,5,15577.6
random,53400,5,15571.4
random,53500,5,15576.2
random,53600,5,15697.4
random,53700,5,15718.2
random,53800,5,15867
random,53900,5,15684.2
random,54000,5,15745.6
random,54100,5,15797.6
random,54200,5,15912.4
random,54300,5,15875.2
random,54400,5,15850.4
random,54500,5,15860.8
random,54600,5,15904.2
random,54700,5,15922.8
random,54800,5,15932.6
random,54900,5,15937.4
random,55000,5,15948.2
random,55100,5,15986
random,55200,5,16039.8
random,55300,5,16100.6
random,55400,5,16075
random,55500,5,16133.4
random,55600,5,16183.8
random,55700,5,16206.6
random,55800,5,16243.4
random,55900,5,16319.2
random,56000,5,16290
random,56100,5,16310.2
random,56200,5,16320.4
random,56300,5,16357.2
random,56400,5,16416.8
random,56500,5,16476.2
random,56600,5,16458.4
random,56700,5,16462.8
random,56800,5,16480.4
random,56900,5,16488.2
random,57000,5,16546.2
random,57100,5,16558
random,57200,5,16602.8
random,57300,5,16679.2
random,57400,5,16685
random,57500,5,16743.4
random,57600,5,16724
random,57700,5,16772
random,57800,5,16805.4
random,57900,5,16819.2
random,58000,5,16877.2
random,58100,5,16917.8
random,58200,5,16926
random,58300,5,16960.4
random,58400,5,16971.8
random,58500,5,17009.2
random,58600,5,17063.4
random,58700,5,17054.8
random,58800,5,17021.6
random,58900,5,17142
random,59000,5,17075.4
random,59100,5,17079.8
random,59200,5,17215.2
random,59300,5,17205
random,59400,5,17254.8
random,59500,5,17306.4
random,59600,5,17253
random,59700,5,17497.6
random,59800,5,17658.8
random,59900,5,17355.6
random,60000,5,17370.4
random,60100,5,17409.4
random,60200,5,17465.2
random,60300,5,17531
random,60400,5,17572.4
random,60500,5,17523.6
random,60600,5,17553.2
random,60700,5,17679.8
random,60800,5,17665.2
random,60900,5,17621.4
random,61000,5,17645.4
random,61100,5,17677.6
random,61200,5,17734.4
random,61300,5,17734.4
random,61400,5,17756.2
random,61500,5,17787.4
random,61600,5,17810.6
random,61700,5,17853
random,61800,5,17896
random,61900,5,17897.8
random,62000,5,17934.8
random,62100,5,17953.6
random,62200,5,18059.2
random,62300,5,18025.4
random,62400,5,18110.4
random,62500,5,18136.8
random,62600,5,18139.6
random,62700,5,18120.6
random,62800,5,18141.4
random,62900,5,18225.6
random,63000,5,18224.6
random,63100,5,18240.4
random,63200,5,18241.2
random,63300,5,18271
random,63400,5,18303.8
random,63500,5,18373.8
random,63600,5,18500.2
random,63700,5,18787.4
random,63800,5,18444.2
random,63900,5,18474.6
random,64000,5,18935.2
random,64100,5,18818.8
random,64200,5,18519
random,64300,5,18556.4
random,64400,5,18575.2
random,64500,5,18670.4
random,64600,5,18660.6
random,64700,5,18671.2
random,64800,5,19970.8
random,64900,5,19574.6
random,65000,5,19358.4
random,65100,5,18892.8
random,65200,5,18887.4
random,65300,5,18965.4
random,65400,5,18955.6
random,65500,5,18982.8
random,65600,5,18992
random,65700,5,18982.4
random,65800,5,18993.8
random,65900,5,19114.2
random,66000,5,19115
random,66100,5,19160
random,66200,5,19195.8
random,66300,5,19211.4
random,66400,5,19281.6
random,66500,5,19288.4
random,66600,5,19316.6
random,66700,5,19346.8
random,66800,5,19368
random,66900,5,19861.6
random,67000,5,20662
random,67100,5,20718.4
random,67200,5,19768.8
random,67300,5,20370
random,67400,5,19554
random,67500,5,19576.4
random,67600,5,19606.8
random,67700,5,19602
random,67800,5,19610.8
random,67900,5,19640.6
random,68000,5,19711.2
random,68100,5,19761.2
random,68200,5,19776.8
random,68300,5,19813.2
random,68400,5,19845.8
random,68500,5,19828.8
random,68600,5,19855.4
random,68700,5,19919.8
random,68800,5,20014.4
random,68900,5,19980.2
random,69000,5,19998.6
random,69100,5,20013.8
random,69200,5,20032.6
random,69300,5,20118
random,69400,5,20157.8
random,69500,5,20224.8
random,69600,5,20275.6
random,69700,5,21385
random,69800,5,21392.4
random,69900,5,21275.6
random,70000,5,20604
random,70100,5,20427.6
random,70200,5,20344.4
