stream_id,step,processed,true_unique,estimate,algo,b_or_p,m,seed
0,0,1000,992,1017.790055,hll,10,1024,42
0,0,1000,992,992.014664,hllpp,10,1024,42
0,1,2000,1968,1966.936588,hll,10,1024,42
0,1,2000,1968,1968.057715,hllpp,10,1024,42
0,2,4000,3924,3788.933931,hll,10,1024,42
0,2,4000,3924,3924.229463,hllpp,10,1024,42
0,3,10000,9716,9897.145500,hll,10,1024,42
0,3,10000,9716,10211.118473,hllpp,10,1024,42
0,4,20000,19332,19532.607283,hll,10,1024,42
0,4,20000,19332,19767.455850,hllpp,10,1024,42
1,0,1000,991,988.492868,hll,10,1024,143
1,0,1000,991,991.014634,hllpp,10,1024,143
1,1,2000,1974,2001.651777,hll,10,1024,143
1,1,2000,1974,1974.058067,hllpp,10,1024,143
1,2,4000,3915,3917.851305,hll,10,1024,143
1,2,4000,3915,3915.228411,hllpp,10,1024,143
1,3,10000,9717,9487.354050,hll,10,1024,143
1,3,10000,9717,9677.367343,hllpp,10,1024,143
1,4,20000,19313,18834.943847,hll,10,1024,143
1,4,20000,19313,19295.134530,hllpp,10,1024,143
2,0,1000,995,1015.091766,hll,10,1024,244
2,0,1000,995,995.014753,hllpp,10,1024,244
2,1,2000,1981,1994.613948,hll,10,1024,244
2,1,2000,1981,1981.058480,hllpp,10,1024,244
2,2,4000,3917,3817.260584,hll,10,1024,244
2,2,4000,3917,3917.228645,hllpp,10,1024,244
2,3,10000,9719,9462.776600,hll,10,1024,244
2,3,10000,9719,9684.625174,hllpp,10,1024,244
2,4,20000,19335,19512.139752,hll,10,1024,244
2,4,20000,19335,18709.473648,hllpp,10,1024,244
3,0,1000,992,1004.369155,hll,10,1024,345
3,0,1000,992,992.014664,hllpp,10,1024,345
3,1,2000,1972,2097.837960,hll,10,1024,345
3,1,2000,1972,1972.057950,hllpp,10,1024,345
3,2,4000,3919,3974.684120,hll,10,1024,345
3,2,4000,3919,3919.228878,hllpp,10,1024,345
3,3,10000,9710,9536.235032,hll,10,1024,345
3,3,10000,9710,9950.728628,hllpp,10,1024,345
3,4,20000,19320,19567.753962,hll,10,1024,345
3,4,20000,19320,19992.564190,hllpp,10,1024,345
4,0,1000,990,983.255005,hll,10,1024,446
4,0,1000,990,990.014605,hllpp,10,1024,446
4,1,2000,1964,1850.888014,hll,10,1024,446
4,1,2000,1964,1964.057480,hllpp,10,1024,446
4,2,4000,3908,3766.269011,hll,10,1024,446
4,2,4000,3908,3908.227595,hllpp,10,1024,446
4,3,10000,9687,9590.895333,hll,10,1024,446
4,3,10000,9687,9199.201713,hllpp,10,1024,446
4,4,20000,19292,17887.554614,hll,10,1024,446
4,4,20000,19292,18718.539509,hllpp,10,1024,446
5,0,1000,997,1009.716426,hll,10,1024,547
5,0,1000,997,996.014782,hllpp,10,1024,547
5,1,2000,1972,2044.925821,hll,10,1024,547
5,1,2000,1972,1971.057891,hllpp,10,1024,547
5,2,4000,3915,4067.519495,hll,10,1024,547
5,2,4000,3915,3914.228295,hllpp,10,1024,547
5,3,10000,9724,9539.380334,hll,10,1024,547
5,3,10000,9724,9956.843558,hllpp,10,1024,547
5,4,20000,19342,18882.975517,hll,10,1024,547
