stream_id,step,processed,true_unique,estimate,algo,b_or_p,m,seed
0,0,1000,992,997.083024,hll,12,4096,42
0,0,1000,992,992.014664,hllpp,12,4096,42
0,1,2000,1968,1952.425580,hll,12,4096,42
0,1,2000,1968,1968.057715,hllpp,12,4096,42
0,2,4000,3924,3927.798859,hll,12,4096,42
0,2,4000,3924,3924.229463,hllpp,12,4096,42
0,3,10000,9716,9870.062504,hll,12,4096,42
0,3,10000,9716,9768.891101,hllpp,12,4096,42
0,4,20000,19332,19820.510308,hll,12,4096,42
0,4,20000,19332,19240.027688,hllpp,12,4096,42
1,0,1000,991,998.358838,hll,12,4096,143
1,0,1000,991,991.014634,hllpp,12,4096,143
1,1,2000,1974,1970.181667,hll,12,4096,143
1,1,2000,1974,1974.058067,hllpp,12,4096,143
1,2,4000,3915,3883.685668,hll,12,4096,143
1,2,4000,3915,3915.228411,hllpp,12,4096,143
1,3,10000,9717,9706.418903,hll,12,4096,143
1,3,10000,9717,9689.014411,hllpp,12,4096,143
1,4,20000,19313,18808.164432,hll,12,4096,143
1,4,20000,19313,19425.906430,hllpp,12,4096,143
2,0,1000,995,1018.826088,hll,12,4096,244
2,0,1000,995,995.014753,hllpp,12,4096,244
2,1,2000,1981,2004.294892,hll,12,4096,244
2,1,2000,1981,1981.058480,hllpp,12,4096,244
2,2,4000,3917,3940.864261,hll,12,4096,244
2,2,4000,3917,3917.228645,hllpp,12,4096,244
2,3,10000,9719,9611.281723,hll,12,4096,244
2,3,10000,9719,9645.231360,hllpp,12,4096,244
2,4,20000,19335,20102.544584,hll,12,4096,244
2,4,20000,19335,19186.355133,hllpp,12,4096,244
3,0,1000,992,1000.911658,hll,12,4096,345
3,0,1000,992,992.014664,hllpp,12,4096,345
3,1,2000,1972,1999.404145,hll,12,4096,345
3,1,2000,1972,1972.057950,hllpp,12,4096,345
3,2,4000,3919,3927.798859,hll,12,4096,345
3,2,4000,3919,3919.228878,hllpp,12,4096,345
